  bin      Q2_l      Q2_h      Q2_c     x_l        x_h        x_c             xsec_c        xsec_ave    BCC_area       RC_sf     rxsec_c      area
   80      707.90    891.30    800.00   0.0100000  0.0158500  0.0080000       24.261129     23.423386   1.03577        0.039290  0.95321      1.0729
   81      707.90    891.30    800.00   0.0158500  0.0251200  0.0130000       15.420973     16.021000   0.96255        0.055275  0.85240      1.7001
   82      707.90    891.30    800.00   0.0251200  0.0398100  0.0200000       10.180900     10.265844   0.99173        0.071847  0.73147      2.6941
   83      707.90    891.30    800.00   0.0398100  0.0631000  0.0320000        6.082858      6.201577   0.98086        0.100233  0.60970      4.2714
   84      707.90    891.30    800.00   0.0631000  0.1000000  0.0500000        3.574252      3.585270   0.99693        0.143657  0.51347      6.7675
   85      707.90    891.30    800.00   0.1000000  0.1450100  0.0800000        1.990024      2.019956   0.98518        0.216789  0.43141      8.2548
   86      707.90    891.30    800.00   0.1450100  0.2089300  0.1300000        1.057481      1.181734   0.89486        0.339236  0.35874     11.7229
   87      707.90    891.30    800.00   0.2089300  0.3162300  0.1800000        0.665648      0.704986   0.94420        0.461884  0.30745     19.6788
   88      707.90    891.30    800.00   0.3162300  0.5011900  0.2500000        0.385537      0.366940   1.05068        0.633699  0.24431     33.9217
   89      707.90    891.30    800.00   0.5011900  1.0000000  0.4000000        0.128019      0.130759   0.97904        1.002014  0.12828     91.4817
   90      891.30   1122.00    800.00   0.0015800  0.0025100  0.6500000        0.012957      0.011111   1.16618        1.615988  0.02094      0.2146
   95      891.30   1122.00   1000.00   0.0158500  0.0251200  0.0130000        8.946777      9.188798   0.97366        0.094235  0.84310      2.1386
   96      891.30   1122.00   1000.00   0.0251200  0.0398100  0.0200000        6.008224      5.961819   1.00778        0.122050  0.73330      3.3890
   97      891.30   1122.00   1000.00   0.0398100  0.0631000  0.0320000        3.690139      3.699913   0.99736        0.166036  0.61270      5.3730
   98      891.30   1122.00   1000.00   0.0631000  0.1000000  0.0500000        2.208204      2.180834   1.01255        0.233308  0.51519      8.5128
   99      891.30   1122.00   1000.00   0.1000000  0.1450100  0.0800000        1.243495      1.242939   1.00045        0.347115  0.43164     10.3838
  100      891.30   1122.00   1000.00   0.1450100  0.2089300  0.1300000        0.664612      0.731225   0.90890        0.538126  0.35765     14.7463
  101      891.30   1122.00   1000.00   0.2089300  0.3162300  0.1800000        0.418873      0.437031   0.95845        0.729621  0.30562     24.7541
  102      891.30   1122.00   1000.00   0.3162300  0.5011900  0.2500000        0.242427      0.227270   1.06669        0.997979  0.24194     42.6703
  103      891.30   1122.00   1000.00   0.5011900  1.0000000  0.4000000        0.080112      0.080633   0.99354        1.573371  0.12605    115.0755
  104     1122.00   1412.50   1000.00   0.0015800  0.0025100  0.6500000        0.008014      0.006788   1.18056        2.532642  0.02030      0.2702
  109     1122.00   1412.50   1200.00   0.0158500  0.0251200  0.0130000        5.804499      5.064274   1.14617        0.142503  0.82716      2.6929
  110     1122.00   1412.50   1200.00   0.0251200  0.0398100  0.0200000        3.861403      3.415408   1.13058        0.189343  0.73113      4.2674
  111     1122.00   1412.50   1200.00   0.0398100  0.0631000  0.0320000        2.425955      2.173197   1.11631        0.253017  0.61381      6.7657
  112     1122.00   1412.50   1200.00   0.0631000  0.1000000  0.0500000        1.478278      1.311838   1.12688        0.349057  0.51600     10.7194
  113     1122.00   1412.50   1200.00   0.1000000  0.1450100  0.0800000        0.842613      0.759387   1.10960        0.512168  0.43156     13.0754
  114     1122.00   1412.50   1200.00   0.1450100  0.2089300  0.1300000        0.453419      0.450462   1.00656        0.786683  0.35670     18.5688
  115     1122.00   1412.50   1200.00   0.2089300  0.3162300  0.1800000        0.286345      0.270191   1.05978        1.062189  0.30415     31.1707
  116     1122.00   1412.50   1200.00   0.3162300  0.5011900  0.2500000        0.165753      0.140575   1.17911        1.448443  0.24008     53.7309
  117     1122.00   1412.50   1200.00   0.5011900  1.0000000  0.4000000        0.054606      0.049714   1.09841        2.276830  0.12433    144.9043
  118     1412.50   1778.30   1200.00   0.0015800  0.0025100  0.6500000        0.005414      0.004151   1.30417        3.658067  0.01980      0.3402
  124     1412.50   1778.30   1500.00   0.0251200  0.0398100  0.0200000        2.233516      1.953427   1.14338        0.323282  0.72206      5.3736
  125     1412.50   1778.30   1500.00   0.0398100  0.0631000  0.0320000        1.429914      1.254306   1.14000        0.428416  0.61260      8.5195
  126     1412.50   1778.30   1500.00   0.0631000  0.1000000  0.0500000        0.893987      0.777778   1.14941        0.577014  0.51584     13.4980
  127     1412.50   1778.30   1500.00   0.1000000  0.1450100  0.0800000        0.519342      0.459450   1.13036        0.829860  0.43098     16.4647
  128     1412.50   1778.30   1500.00   0.1450100  0.2089300  0.1300000        0.282697      0.275746   1.02521        1.257274  0.35543     23.3819
  129     1412.50   1778.30   1500.00   0.2089300  0.3162300  0.1800000        0.179252      0.166362   1.07749        1.687048  0.30241     39.2503
  130     1412.50   1778.30   1500.00   0.3162300  0.5011900  0.2500000        0.103912      0.086748   1.19787        2.290049  0.23796     67.6584
  131     1412.50   1778.30   1500.00   0.5011900  1.0000000  0.4000000        0.034151      0.030623   1.11521        3.583899  0.12239    182.4647
  132     1778.30   2238.70   1500.00   0.0015800  0.0025100  0.6500000        0.003355      0.002540   1.32088        5.741757  0.01926      0.4282
  138     1778.30   2238.70   2000.00   0.0251200  0.0398100  0.0219000        1.025000      1.070516   0.95748        0.665612  0.68225      6.7633
  139     1778.30   2238.70   2000.00   0.0398100  0.0631000  0.0320000        0.705935      0.713360   0.98959        0.855850  0.60417     10.7227
  140     1778.30   2238.70   2000.00   0.0631000  0.1000000  0.0500000        0.456195      0.453140   1.00674        1.122617  0.51213     16.9888
  141     1778.30   2238.70   2000.00   0.1000000  0.1450100  0.0800000        0.273581      0.274492   0.99668        1.566145  0.42847     20.7226
  142     1778.30   2238.70   2000.00   0.1450100  0.2089300  0.1300000        0.152131      0.167382   0.90888        2.320529  0.35302     29.4288
  143     1778.30   2238.70   2000.00   0.2089300  0.3162300  0.1800000        0.097286      0.101867   0.95502        3.081924  0.29983     49.4009
  144     1778.30   2238.70   2000.00   0.3162300  0.5011900  0.2500000        0.056647      0.053356   1.06167        4.151949  0.23519     85.1556
  145     1778.30   2238.70   2000.00   0.5011900  1.0000000  0.4000000        0.018608      0.018835   0.98796        6.450196  0.12003    229.6521
  146     2238.70   3548.10   2000.00   0.0015800  0.0025100  0.6500000        0.001809      0.001553   1.16438       10.285141  0.01860      1.2177
  153     2238.70   3548.10   3000.00   0.0398100  0.0631000  0.0320000        0.262599      0.325585   0.80655        2.197553  0.57708     30.4959
  154     2238.70   3548.10   3000.00   0.0631000  0.1000000  0.0500000        0.167502      0.195592   0.85639        2.958486  0.49555     48.3169
  155     2238.70   3548.10   3000.00   0.1000000  0.1450100  0.0800000        0.105961      0.123217   0.85995        3.953396  0.41890     58.9361
  156     2238.70   3548.10   3000.00   0.1450100  0.2089300  0.1300000        0.061722      0.077598   0.79541        5.622589  0.34704     83.6969
  157     2238.70   3548.10   3000.00   0.2089300  0.3162300  0.1800000        0.040307      0.048173   0.83672        7.319824  0.29504    140.4986
  158     2238.70   3548.10   3000.00   0.3162300  0.5011900  0.2500000        0.023785      0.025546   0.93109        9.715054  0.23108    242.1867
  159     2238.70   3548.10   3000.00   0.5011900  1.0000000  0.4000000        0.007865      0.009060   0.86819       14.873847  0.11699    653.1419
  160     3548.10   6000.70   3000.00   0.0015800  0.0025100  0.6500000        0.000757      0.000744   1.01805       23.494493  0.01778      2.2809
  168     3548.10   6000.70   5000.00   0.0631000  0.1000000  0.0547000        0.042088      0.062998   0.66809       10.392387  0.43739     90.5009
  169     3548.10   6000.70   5000.00   0.1000000  0.1450100  0.0800000        0.028770      0.036040   0.79827       13.372655  0.38473    110.3915
  170     3548.10   6000.70   5000.00   0.1450100  0.2089300  0.1300000        0.018229      0.024108   0.75614       17.997803  0.32808    156.7702
